"title","body","labels","Odd-daBoss","milestone","project","column","estimate_hours","story_points"
"Enable Flink checkpointing","Configure Flink checkpoints with persistent storage and verify recovery after restart. Acceptance: checkpoints enabled, recovery tested, documentation added.","sprint-2,reliability,priority/high","your-github-username","Sprint 2","Data Pipeline MVP","Ready","12","8"
"Implement Flink savepoint strategy","Document and test savepoint creation and restore procedures for upgrades. Acceptance: savepoint workflow validated.","sprint-2,reliability","your-github-username","Sprint 2","Data Pipeline MVP","Ready","8","5"
"Add Kafka consumer lag monitoring","Implement Kafka consumer lag visibility and dashboard. Acceptance: lag metrics available and alert threshold defined.","sprint-2,observability,priority/high","your-github-username","Sprint 2","Data Pipeline MVP","Ready","8","5"
"Modularize Kafka-Flink-IoTDB pipeline","Refactor pipeline into source, processing, and sink modules with clear interfaces. Acceptance: modules separated and independently testable.","sprint-2,code","your-github-username","Sprint 2","Data Pipeline MVP","Backlog","24","13"
"Implement Dead Letter Queue (DLQ)","Route malformed or failed events to Kafka DLQ. Acceptance: failed records captured and visible.","sprint-3,reliability","your-github-username","Sprint 3","Data Pipeline MVP","Backlog","12","8"
"Add schema validation","Validate incoming events against schema before processing. Acceptance: invalid events rejected and logged.","sprint-3,data-quality","your-github-username","Sprint 3","Data Pipeline MVP","Backlog","8","5"
"Add end-to-end integration tests","Create automated tests covering Kafka → Flink → IoTDB flow. Acceptance: integration tests run in CI.","sprint-3,testing,priority/high","your-github-username","Sprint 3","Data Pipeline MVP","Backlog","12","8"
"Expand test coverage to 70%","Increase unit and integration coverage across core modules. Acceptance: 70%+ coverage on critical paths.","sprint-3,testing","your-github-username","Sprint 3","Data Pipeline MVP","Backlog","24","13"
"Add Prometheus metrics","Expose application and infrastructure metrics for monitoring. Acceptance: Prometheus scraping configured.","sprint-4,observability","your-github-username","Sprint 4","Data Pipeline MVP","Backlog","12","8"
"Add OpenTelemetry tracing","Implement distributed tracing across pipeline components. Acceptance: traces visible end-to-end.","sprint-4,observability","your-github-username","Sprint 4","Data Pipeline MVP","Backlog","12","8"
"Implement centralized logging","Aggregate logs for Kafka, Flink, IoTDB, and application services. Acceptance: searchable centralized logs.","sprint-4,observability","your-github-username","Sprint 4","Data Pipeline MVP","Backlog","12","8"
"Build KPI aggregation pipeline","Create derived KPI metrics such as utilization, throughput, and OEE. Acceptance: KPIs available in Grafana.","sprint-5,analytics","your-github-username","Sprint 5","Data Pipeline MVP","Backlog","12","8"
"Implement anomaly detection","Detect abnormal machine behavior using statistical or ML techniques. Acceptance: anomalies generated and stored.","sprint-5,analytics,ai","your-github-username","Sprint 5","Data Pipeline MVP","Backlog","24","13"
"Integrate alert workflow","Connect anomaly detection and Grafana alerts to workflow actions. Acceptance: alerts trigger workflow and acknowledgement process.","sprint-5,workflow","your-github-username","Sprint 5","Data Pipeline MVP","Backlog","24","13"
"Deploy on Kubernetes","Create Kubernetes manifests or Helm charts for deployment. Acceptance: successful deployment on K8s cluster.","sprint-6,platform","your-github-username","Sprint 6","Data Pipeline MVP","Backlog","24","13"
"Expand Terraform infrastructure","Extend Terraform modules beyond staging to support repeatable environments. Acceptance: dev/staging environments provisionable.","sprint-6,infra","your-github-username","Sprint 6","Data Pipeline MVP","Backlog","16","8"
"Disaster recovery testing","Define backup and restore procedures and execute recovery drills. Acceptance: recovery process documented and tested.","sprint-6,reliability","your-github-username","Sprint 6","Data Pipeline MVP","Backlog","12","8"
