"title","body","labels","Odd-daBoss","milestone","project","column","estimate_hours","story_points"
"Inventory: collect repos, scripts, data, infra notes","Collect repo list, branches, scripts, readme/run notes, sample data, external deps. Acceptance: single inventory doc with links and short notes.","sprint-0,infra,priority/high","your-github-username","Sprint 0","Data Pipeline MVP","Backlog","6","3"
"Define MVP scope & success metrics","Document core features, SLA targets, KPIs (latency, throughput, error rate), and acceptance criteria for MVP.","sprint-0,docs,priority/high","your-github-username","Sprint 0","Data Pipeline MVP","Backlog","6","3"
"Create repo + enable Issues & Projects + labels","Create private repo data-pipeline-saas, enable Issues & Projects, add labels and milestones per plan.","sprint-0,infra","your-github-username","Sprint 0","Data Pipeline MVP","Backlog","2","1"
"Add Dockerfile(s) and docker-compose","Add Dockerfile(s) for PoC services and docker-compose or devcontainer with run instructions. Acceptance: docker build & run succeed.","sprint-1,infra,priority/high","your-github-username","Sprint 1","Data Pipeline MVP","Ready for Sprint","8","5"
"Minimal IaC for staging (Terraform)","Create Terraform to provision object store, small VM or managed compute, and secrets; provide default variables for dev. Acceptance: apply creates resources.","sprint-1,infra","your-github-username","Sprint 1","Data Pipeline MVP","Ready for Sprint","12","8"
"CI pipeline: build & smoke test","Create GitHub Actions pipeline: build images, run unit tests, deploy to ephemeral staging, run end-to-end smoke test, save artifacts.","sprint-1,ci,priority/high","your-github-username","Sprint 1","Data Pipeline MVP","Ready for Sprint","16","8"
"Add sample dataset & baseline tests","Add small representative dataset and a baseline set of unit/integration tests to run in CI.","sprint-1,testing","your-github-username","Sprint 1","Data Pipeline MVP","Ready for Sprint","8","5"
"Epic: Modularize PoC into components","Create epic that outlines components to extract, boundaries, and integration points. Link child tasks for refactor work.","epic,planning","your-github-username","Sprint 2","Data Pipeline MVP","Backlog","4","2"
"Refactor scripts into modular components","Extract core logic into packages/modules with clear interfaces and tests. Acceptance: modules importable and tested.","sprint-2,code,priority/med","your-github-username","Sprint 2","Data Pipeline MVP","Ready for Sprint","24","13"
"Containerize components & publish images","Create Docker images for each component and push to registry; add semantic version tags.","sprint-2,infra","your-github-username","Sprint 2","Data Pipeline MVP","Ready for Sprint","8","5"
"Choose orchestration & prototype","Select Airflow or Dagster and implement prototype DAGs for 3 core workflows.","sprint-3,orchestration,priority/high","your-github-username","Sprint 3","Data Pipeline MVP","Ready for Sprint","16","8"
"Implement retries, dependency handling & alerts","Add retries, DLQ pattern, and basic alerting for failed runs.","sprint-3,orchestration","your-github-username","Sprint 3","Data Pipeline MVP","Ready for Sprint","12","8"
"Add integration tests for DAGs","Add CI integration tests that run DAGs against sample data and validate outputs.","sprint-3,testing","your-github-username","Sprint 3","Data Pipeline MVP","Ready for Sprint","12","8"
"Expand unit/integration test coverage to 70% core","Increase test coverage for core modules; add contract/schema tests.","sprint-4,testing,priority/high","your-github-username","Sprint 4","Data Pipeline MVP","Ready for Sprint","24","13"
"Implement data quality checks (Great Expectations)","Add basic data quality tests and CI gating for quality failures.","sprint-4,data,testing","your-github-username","Sprint 4","Data Pipeline MVP","Ready for Sprint","12","8"
"Integrate secrets manager","Integrate HashiCorp Vault or cloud secrets manager for credentials; update IaC.","sprint-5,security,infra","your-github-username","Sprint 5","Data Pipeline MVP","Ready for Sprint","12","8"
"Implement authentication prototype","Add basic JWT/OAuth flow for API/console and a simple user onboarding flow.","sprint-5,auth,backend","your-github-username","Sprint 5","Data Pipeline MVP","Ready for Sprint","16","8"
"Security checklist & fixes","Run security checklist (deps audit, IAM least-privilege, secrets in code) and fix critical issues.","sprint-5,security","your-github-username","Sprint 5","Data Pipeline MVP","Ready for Sprint","12","8"
"Add metrics, tracing, and centralized logging","Instrument services with OpenTelemetry, push metrics to Prometheus/Grafana, centralize logs.","sprint-6,observability","your-github-username","Sprint 6","Data Pipeline MVP","Ready for Sprint","16","8"
"Run load tests & tune autoscaling","Run k6/Locust tests, identify bottlenecks, and configure autoscaling policies.","sprint-6,performance","your-github-username","Sprint 6","Data Pipeline MVP","Ready for Sprint","16","8"
"Create onboarding docs & runbook","Write quickstart, API examples, and incident runbook for beta users.","sprint-6,docs","your-github-username","Sprint 6","Data Pipeline MVP","Ready for Sprint","12","5"
"Beta onboarding plan & invite list","Define beta criteria, invite list, success metrics for beta, and feedback loop.","sprint-6,product","your-github-username","Sprint 6","Data Pipeline MVP","Ready for Sprint","8","3"
